mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G, TMĐT2019,,,,,,,,,,,,,,
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD, ,,76.0,75.0,,,,,,,,,,,
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q, PMCL2018,,,,,,,,,,,,,,
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31, KHMT2018,,,,,,,,,,,,,,
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA, KHCL2019,,,,,,,,,,,,,,
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0, ,,76.0,75.0,,,,,,,,,,,
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4, KTPM2017,,,,,,,,,,,,,,
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg, ATCL2019,,,,,,,,,,,,,,
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR, MMCL2018,,,,,,,,,,,,,,
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh, ATCL2018,,,,,,,,,,,,,,
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG, CNTT2017,,,,,,,,,,,,,,
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8, KHMT2014,75.0,,,,,,,,,,,,,
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO, KTPM2017,,,,,,,,,,,,,,
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna, KTMT2016,,,,,,,,,,,,,,
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+, CNTT2017,,,,,,,,,,,,,,
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+, PMCL2017,,,,,,,,,,,,,,
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy, MMTT2014,77.0,,,,,,,,,,,,,
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL, HTCL2016,,,,,,,,,,,,,,
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT, MMTT2017,,,,,,,,,,,,,,
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6, ,,86.0,85.0,87.0,,,,,,,,,,
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC, TMĐT2017,,,,,,,,,,,,,,
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs, CNTT2019,,,,,,,,,,,,,,
008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/, KHDL2019,,,,,,,,,,,,,,
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi, PMCL2016,,,,,,,,,,,,,,
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT, KHCL2019,,,,,,,,,,,,,,
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8, CNTT2015,,,,,,,,,,,,,,
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ, CNCL2018,,,,,,,,,,,,,,
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F, CNTT2016,,,,,,,,,,,,,,
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1, KTPM2014,56.0,,,,,,,,,,,,,
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K, MTCL2015,,,,,,,,,,,,,,
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn, ,,57.0,60.0,,,,,,,,,,,
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x, HTTT2015,,,,,,,,,,,,,,
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq, MTCL2018,,,,,,,,,,,,,,
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J, MMCL2018,,,,,,,,,,,,,,
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi, CNCL2019,,,,,,,,,,,,,,
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw, CNTT2017,,,,,,,,,,,,,,
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6, MTCL2015,,,,,,,,,,,,,,
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0, HTTT2016,,,,,,,,,,,,,,
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM, MTCL2017,,,,,,,,,,,,,,
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI, KTMT2019,,,,,,,,,,,,,,
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E, MTCL2018,,,,,,,,,,,,,,
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr, MMTT2015,,,,,,,,,,,,,,
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE, PMCL2018,,,,,,,,,,,,,,
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN, CNTT2018,,,,,,,,,,,,,,
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm, PMCL2016,,,,,,,,,,,,,,
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH, ,,78.0,93.0,63.0,,,,,,,,,,
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC, PMCL2017,,,,,,,,,,,,,,
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF, ANTN2014,100.0,97.0,,,,,,,,,,,,
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL, ATCL2018,,,,,,,,,,,,,,
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W, KTPM2014,70.0,,,,,,,,,,,,,
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96, CNTT2015,,,,,,,,,,,,,,
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt, CNTT2016,,,,,,,,,,,,,,
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b, KHTN2015,,,,,,,,,,,,,,
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk, KTPM2017,,,,,,,,,,,,,,
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/, TMCL2019,,,,,,,,,,,,,,
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN, MTCL2016,,,,,,,,,,,,,,
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn, CNTT2015,,,,,,,,,,,,,,
01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8, TMCL2019,,,,,,,,,,,,,,
016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/, MMCL2019,,,,,,,,,,,,,,
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK, KHCL2019,,,,,,,,,,,,,,
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko, PMCL2016,,,,,,,,,,,,,,
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q, MMTT2015,,,,,,,,,,,,,,
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR, HTCL2017,,,,,,,,,,,,,,
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ, MTCL2019,,,,,,,,,,,,,,
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa, CNTT2019,,,,,,,,,,,,,,
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0, KTMT2019,,,,,,,,,,,,,,
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP, MTCL2016,,,,,,,,,,,,,,
01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn, ANTN2016,,,,,,,,,,,,,,
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD, CTTT2015,,,,,,,,,,,,,,
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb, MMTT2017,,,,,,,,,,,,,,
01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K, ,,,,,,,,,,,,,,
0238C60FXPvAibaEXe/H1VZJBzJAwvbgak7AXdRX, CNTT2014,,,,,,,,,,,,,,
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ, ATCL2019,,,,,,,,,,,,,,
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6, PMCL2017,,,,,,,,,,,,,,
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh, HTTT2017,,,,,,,,,,,,,,
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj, ,,71.0,72.0,53.0,,,,,,,,,,
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI, MMTT2019,,,,,,,,,,,,,,
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg, ,,71.0,67.0,,,,,,,,,,,
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM, PMCL2017,,,,,,,,,,,,,,
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s, KHCL2018,,,,,,,,,,,,,,
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr, HTCL2017,,,,,,,,,,,,,,
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB, CNTT2017,,,,,,,,,,,,,,
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a, CTTT2018,,,,,,,,,,,,,,
