mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
0000AC05XPvAibaEXe9B2tolTZ0JLoBGbkQixQS6,MMCL2021,93,90,100,,,,,,,,,,,
0001CF3EXPvAibaEXe/xTpnJlY3K6L35F+TKUux6,,38,,,,,,,,,,,,,
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,TMĐT2019,100,100,100,100,100,100,100,,,,,,,
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,,81,76,75,91,77,71,64,70,76,70,,,,
0006A0BBXPvAibaEXe/lMOwHQdw54DgUkWaqwb1u,KHMT2022,96,,,,,,,,,,,,,
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,PMCL2018,85,100,96,100,100,90,86,84,58,,,,,
000B006CXPvAibaEXe+h/PgZuZftQYUcSA89YzsX,MMT04,65,65,0,40,,,,,,,,,,
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,HTCL2021,100,100,100,,,,,,,,,,,
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,KHMT2018,90,95,100,79,88,100,100,86,,,,,,
00169126XPvAibaEXe85YhhPviVpreIIM/uxLQ/I,KHBC2019,78,,,,,,,,,,,,,
00186532XPvAibaEXe9mukrhuVxgFUP1Fubw46z/,HTTT03,40,,,,,,,,,,,,,
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,KHCL2019,95,95,100,95,100,97,,,,,,,,
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,,59,76,75,48,-25,-23,,,,,,,,
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,KTPM2017,80,70,66,63,58,69,70,66,84,66,58,,,
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,ATCL2019,90,88,81,80,100,86,100,,,,,,,
0029EB61XPvAibaEXe91cD6qcSaqdHPIvbwRC2rY,MMT06,67,67,77,94,100,100,99,86,29,25,50,,,
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,KHNT2020,81,100,100,100,100,,,,,,,,,
00303E0BXPvAibaEXe9zjjuEw+R98calPc2DE+AI,HTTT06,49,49,5,50,,,,,,,,,,
003204ABXPvAibaEXe9xdgWKUYIYQz3YBlrS4yLi,KTMT2022,73,,,,,,,,,,,,,
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,MMCL2018,76,80,59,54,58,58,77,54,58,,,,,
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,ATCL2018,73,68,61,63,66,66,,,,,,,,
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,CNTT2017,83,78,66,65,80,53,53,,,,,,,
004F77B3XPvAibaEXe+hgaeObL7HTvumctv2YbLD,MMCL2021,81,79,58,,,,,,,,,,,
004FE280XPvAibaEXe/NJPkXkTyAbVU9wZ4y1XE1,AEP02,0,0,0,0,50,50,58,60,,,,,,
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,KHMT2014,75,62,79,54,61,25,31,,,,,,,
0055FEF7XPvAibaEXe+oLfTdHI0I5aOZvYIhNKUb,MMT04,75,75,90,84,96,84,,,,,,,,
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,KTPM2017,80,75,76,75,81,86,94,80,58,58,,,,
