mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
C410FEC4XPvAibaEXe/odi52as1TQ/z6UAtEIyTx,7,7,144
4555C74CXPvAibaEXe8UBGVVSBKSkjQKdKZAX7FE,6.34,6.34,153
6FB8C971XPvAibaEXe8zjuWfAVBr9Syz83phZPbU,2.31,0,0
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,8.21,8.21,148
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,8.32,8.32,148
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,5.84,7.01,60
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,7.55,7.76,152
99DFF379XPvAibaEXe9WgQQLl7rkk3xiov9KwR/h,7.9,7.9,158
3C342700XPvAibaEXe9wQ8rkPICemKUxomFBsH4h,7.27,7.42,138
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,6.82,6.89,144
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,7.91,7.91,136
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,7.4,7.4,152
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,7.76,7.76,152
635D1273XPvAibaEXe9xkK/YA3rY8IFU/6Bc4lh9,6.67,6.67,160
7B967A41XPvAibaEXe8lzySxhHiT0exzdQmBFLmj,9.08,9.08,144
01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn,0.29,0,0
A048A75BXPvAibaEXe9WGATIMl02LCcJquODyIYq,7.26,7.26,148
1AA01459XPvAibaEXe8qBtIUs9INCxnbbJBzZt2h,6.99,7.3,142
E402E8DCXPvAibaEXe876wt31yGPP/BDYut7u/p4,6.38,7.04,129
A57FE5C5XPvAibaEXe/rR9uJzGOYEia+h3ehxKfK,7.13,7.13,148
A259F1D8XPvAibaEXe+LbmSTUWVMuNAoY/EQV9z/,5.51,6.82,105
FFFA4234XPvAibaEXe+OhmjSj4XEzdTGgcTdT9fT,7.76,7.76,148
DFB4F658XPvAibaEXe/A1zCqCr2ya8wbpVb94p4t,8.23,8.23,154
21478CA5XPvAibaEXe87069oyWO+Ia90rjo5SvVw,5.74,7.2,98
78DD02BCXPvAibaEXe9XrYsEpevBozrlrvV/mYs5,7.21,7.21,154
9CD6FC97XPvAibaEXe/uPR0E3TEtQoREyf0wp5Rs,7.79,7.79,141
F6DEBE15XPvAibaEXe8X/UxhAbbOG3BxNNl+y4ZV,6.75,6.75,153
EDD75437XPvAibaEXe+wVOsoF63SsHheVwOKF/JA,7.58,7.66,156
64A2A84CXPvAibaEXe8jiYzwktGSchUZQTLU3+EL,8.52,8.52,148
C1312801XPvAibaEXe9Q2McsUcINTketisymyY1y,7.02,7.02,153
955B7BBEXPvAibaEXe8lzySxhHiT0afB+o9SPiI/,7.72,7.72,148
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,5.6,6.37,123
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,7.62,7.62,152
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,7.46,7.56,152
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,6.5,6.94,138
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,8.02,8.02,144
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,8,8,152
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,7.87,7.87,152
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,5.43,7.1,22
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,7.45,7.45,152
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,7.78,7.78,148
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,6.53,7.13,147
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,4.85,6.86,70
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,7.02,7.1,144
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,7.58,7.58,148
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,8.04,8.04,153
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,7.08,7.08,136
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,5.14,6.56,72
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,6,6.36,153
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,7.11,7.98,120
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,7.52,7.52,152
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,7.29,7.29,146
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,7.39,7.39,152
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,7.56,7.73,152
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,7.25,7.25,154
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,5.72,6.14,122
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,4.27,6.73,46
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,2.88,6.27,21
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,4.92,6.98,87
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,6.68,7.3,152
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,6.66,6.81,141
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,6.63,6.82,149
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,6.39,6.39,148
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,0.99,7.5,4
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,7.71,7.71,157
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,7.68,7.68,148
