mssv,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_hk11,sotc_hk12,sotc_hk13,sotc_hk14,sotc_hk15,sotc_hk16,sotc_hk17,sotc_hk18,sotc_hk19,sotc_hk20,sotc_hk21,sotc_hk22
0000AC05XPvAibaEXe9B2tolTZ0JLoBGbkQixQS6,17,21.0,16.0,0.0,,,,,,,,,,,,,,,,,,
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,17,21.0,15.0,19.0,20.0,20.0,9.0,,,,,,,,,,,,,,,
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,22,15.0,6.0,25.0,16.0,14.0,14.0,21.0,11.0,10.0,,,,,,,,,,,,
0006A0BBXPvAibaEXe/lMOwHQdw54DgUkWaqwb1u,14,,,,,,,,,,,,,,,,,,,,,
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,17,20.0,15.0,20.0,20.0,19.0,15.0,10.0,,,,,,,,,,,,,,
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,22,20.0,18.0,0.0,,,,,,,,,,,,,,,,,,
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,17,25.0,23.0,22.0,22.0,15.0,12.0,,,,,,,,,,,,,,,
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,17,23.0,0.0,18.0,22.0,23.0,22.0,0.0,,,,,,,,,,,,,,
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,22,19.0,9.0,18.0,23.0,10.0,,,,,,,,,,,,,,,,
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,16,20.0,14.0,18.0,4.0,8.0,12.0,24.0,21.0,23.0,20.0,24.0,,,,,,,,,,
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,16,19.0,23.0,22.0,20.0,12.0,10.0,,,,,,,,,,,,,,,
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,12,22.0,24.0,20.0,8.0,0.0,,,,,,,,,,,,,,,,
003204ABXPvAibaEXe9xdgWKUYIYQz3YBlrS4yLi,22,,,,,,,,,,,,,,,,,,,,,
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,20,23.0,17.0,15.0,23.0,15.0,13.0,20.0,21.0,,,,,,,,,,,,,
0049FADEXPvAibaEXe8CGo5TJgW8f6CCqn1angwp,8,,,,,,,,,,,,,,,,,,,,,
